ico	nazov	mesto	vznik
57820392	Šmeko s. r. o.	Košice - mestská časť Juh	2026-08-25
57819769	Seres s. r. o.	Košice - mestská časť Staré Mesto	2026-08-25
57853738	Ruslan Trashkov	Košice - mestská časť Nad jazerom	2026-08-21
56749821	Šimon Sabolčík	Košice - mestská časť Západ	2026-08-24
57836540	VL1LG s. r. o.	Košice - mestská časť Staré Mesto	2026-08-25
57854009	Alina Panova	Košice - mestská časť Staré Mesto	2026-08-21
57849315	Mykhailo Pokhvatiuk	Košice - mestská časť Juh	2026-08-20
57853096	Marek Lipták	Košice - mestská časť Kavečany	2026-08-21
57853223	Matúš Stašík	Košice - mestská časť Sídlisko KVP	2026-08-21
57815330	PRIME HEALTH s. r. o.	Košice - mestská časť Myslava	2026-08-25
57834873	L&L EQUITY s. r. o.	Košice - mestská časť Juh	2026-08-25
57816981	PRIME INSTITUTE s. r. o.	Košice - mestská časť Myslava	2026-08-25
57853592	Roman Ivanyna	Košice - mestská časť Juh	2026-08-21
57819947	Penates s. r. o.	Košice - mestská časť Juh	2026-08-25
57835497	LORENKE s. r. o.	Košice - mestská časť Sever	2026-08-25
57854114	Daniel Korfant	Košice - mestská časť Západ	2026-08-24
57854564	Rodion Misiailo	Košice - mestská časť Staré Mesto	2026-08-24
57819670	LevelUP Collective s. r. o.	Košice - mestská časť Nad jazerom	2026-08-25
57854807	Monika Marszaliková - TOP MAX2	Košice - mestská časť Dargovských hrdinov	2026-08-24
57816115	Trion Studios s. r. o.	Košice - mestská časť Sídlisko KVP	2026-08-25
57821267	Sklenárstvo - BETTY s. r. o.	Košice - mestská časť Sever	2026-08-25
57822646	Skynext s. r. o.	Košice - mestská časť Západ	2026-08-25
57820139	ProfiMC s. r. o.	Košice - mestská časť Západ	2026-08-25
57819602	DAN-MONT Slovakia s. r. o.	Košice - mestská časť Západ	2026-08-25
57814325	KONIG PROTOKOLL s. r. o.	Košice - mestská časť Západ	2026-08-25
57820686	Makman s. r. o.	Košice - mestská časť Západ	2026-08-25
57816425	DTF TechPrint s. r. o.	Košice - mestská časť Západ	2026-08-25
57834512	Datax Plus s. r. o.	Košice - mestská časť Staré Mesto	2026-08-25
57836175	FES66 s. r. o.	Košice - mestská časť Staré Mesto	2026-08-25
57821593	BOGNAR GROUP s. r. o.	Košice - mestská časť Staré Mesto	2026-08-25
57815071	Timisun s. r. o.	Košice - mestská časť Staré Mesto	2026-08-25
57837091	MDF Macej s. r. o.	Košice - mestská časť Západ	2026-08-25
57826501	Tamand s. r. o.	Košice - mestská časť Sídlisko Ťahanovce	2026-08-25
57815950	MOKOŠ group s. r. o.	Košice - mestská časť Západ	2026-08-25
57815135	SmartSupply s. r. o.	Košice - mestská časť Dargovských hrdinov	2026-08-25
57826200	Kopnický s. r. o.	Košice - mestská časť Západ	2026-08-25
